"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","6","a","1877","2","118"
"congruent","1","4","7","a","1026","3","118"
"incongruent","1","3","5","l","767","2","118"
"incongruent","1","1","5","l","616","4","118"
"congruent","1","2","2","l","586","4","118"
"congruent","1","4","4","l","552","8","118"
"congruent","1","1","4","a","893","3","118"
"incongruent","1","2","4","a","579","6","118"
"incongruent","1","4","7","l","839","3","118"
"congruent","1","3","3","l","501","6","118"
"incongruent","1","2","3","a","710","5","118"
"incongruent","1","2","4","l","567","2","118"
"congruent","1","3","5","a","507","2","118"
"congruent","1","4","6","a","507","2","118"
"incongruent","1","1","4","l","604","3","118"
"congruent","1","1","5","a","810","4","118"
"incongruent","1","4","6","l","771","2","118"
"incongruent","1","2","4","a","641","6","118"
"congruent","1","1","5","a","653","4","118"
"incongruent","1","1","3","a","678","4","118"
"incongruent","1","3","4","a","680","7","118"
"incongruent","1","1","3","l","673","2","118"
"congruent","1","2","2","l","560","4","118"
"incongruent","1","4","2","a","513","6","118"
"incongruent","1","1","2","a","422","3","118"
"congruent","1","3","5","a","424","2","118"
"incongruent","1","2","2","a","421","4","118"
"congruent","1","2","4","l","510","6","118"
"incongruent","1","2","2","a","1245","4","118"
"incongruent","1","3","3","a","1026","6","118"
"incongruent","1","3","7","l","533","4","118"
"congruent","1","1","4","a","463","3","118"
"congruent","1","2","6","a","685","4","118"
"congruent","1","1","3","l","492","4","118"
"congruent","1","2","5","a","460","3","118"
"congruent","1","3","7","a","504","4","118"
"incongruent","1","4","3","a","1051","7","118"
"congruent","1","4","8","a","450","4","118"
"incongruent","1","3","2","a","1224","5","118"
"incongruent","1","3","6","l","509","3","118"
"congruent","1","3","4","l","491","7","118"
"congruent","1","2","5","a","495","3","118"
"congruent","1","2","3","l","622","5","118"
"congruent","1","3","3","l","490","6","118"
"congruent","1","1","4","l","532","5","118"
"congruent","1","4","4","l","450","8","118"
"incongruent","1","2","6","l","586","4","118"
"congruent","1","4","8","a","511","4","118"
"congruent","1","4","3","l","561","7","118"
"incongruent","1","4","4","a","582","8","118"
"incongruent","1","3","2","a","481","5","118"
"congruent","1","3","6","a","498","3","118"
"congruent","1","2","6","a","583","4","118"
"incongruent","1","1","4","a","618","5","118"
"incongruent","1","2","6","l","541","4","118"
